step,energy,ewmean,ewvar,pmove
7605,-1.1727831,-1.1727831,-0.0,0.54256594
7606,-1.1743736,-1.1729422,2.2766937e-07,0.5429444
7607,-1.173623,-1.1730102,2.4661693e-07,0.5409607
7608,-1.1726544,-1.1729746,2.333512e-07,0.5441101
7609,-1.1746879,-1.1731459,4.741944e-07,0.5433106
7610,-1.1702045,-1.1728518,1.2054242e-06,0.54179686
7611,-1.1784346,-1.17341,3.8899802e-06,0.5445801
7612,-1.1692866,-1.1729977,5.0312374e-06,0.54342043
7613,-1.1674954,-1.1724474,7.252934e-06,0.54527587
7614,-1.1722687,-1.1724296,6.5305144e-06,0.5456543
7615,-1.1692625,-1.1721128,6.7801716e-06,0.5453064
7616,-1.1755738,-1.1724589,7.180223e-06,0.54312134
7617,-1.1770184,-1.1729149,8.333228e-06,0.5409973
7618,-1.1717536,-1.1727988,7.621263e-06,0.5423889
7619,-1.1707458,-1.1725935,7.2384337e-06,0.5421753
7620,-1.1792772,-1.1732619,1.0535065e-05,0.54385376
7621,-1.1737849,-1.1733142,9.506173e-06,0.5414734
7622,-1.1719761,-1.1731803,8.716707e-06,0.542572
7623,-1.1720973,-1.1730721,7.950599e-06,0.54387206
7624,-1.174012,-1.173166,7.2350367e-06,0.54378664
7625,-1.1739838,-1.1732478,6.571721e-06,0.5425049
7626,-1.1765337,-1.1735764,6.8862823e-06,0.54430544
7627,-1.1736519,-1.1735839,6.198168e-06,0.5431458
7628,-1.1705322,-1.1732787,6.416476e-06,0.5440857
7629,-1.1706885,-1.1730196,6.378641e-06,0.54384154
7630,-1.1709099,-1.1728086,6.141377e-06,0.5442993
7631,-1.1716338,-1.1726911,5.6514546e-06,0.5449219
7632,-1.1710082,-1.1725228,5.341196e-06,0.54522705
7633,-1.1736223,-1.1726327,4.9158707e-06,0.54348755
7634,-1.1700583,-1.1723752,5.020782e-06,0.54270023
